#,TYP STAVBY,KAPLE,KOSTEL,KLÁŠTER,OBYTNÝ OBJEKT,ÚČELOVÝ OBJEKT,ZASVĚCENÍ / NÁZEV,MÍSTO,OD,DO,ROKY,ŠÍŘKA,DÉLKA,POZNÁMKA,INVESTOR,NOVOSTAVBA,PŘESTAVBA,PŘÍSTAVBA,DOSTAVBA
JBS-171701,KAPLE,1,*,*,*,*,SV.KLIMENTA,HRADEC KRÁLOVÉ,1714,1717,3," 50°12'32.71""S"," 15°49'51.11""V",*,HRADECKÝ BISKUP J.A.VRATISLAV Z MITROVIC,1,*,*,*
JBS-171702,KOSTEL,*,1,*,*,*,NEJSVĚTĚJŠÍ TROJICE,CHRAST,1710,1717,7," 49°54'4.91""S"," 15°56'9.34""V",*,HRADEČTÍ BISKUPOVÉ T.J.BECKER J.A.VRATISLAV Z MITROVIC,1,*,*,*
JBS-171703,KOSTEL,*,1,*,*,*,SV.JAN KŘTITEL,MANĚTÍN,1712,1717,5," 49°59'29.16""S"," 13°13'52.16""V",DĚKANSKÝ ,HRABĚNKA M.G.LAŽANSKÁ,*,1,*,*
JBS-171801,KOSTEL,*,1,*,*,*,ČTRNÁCTI POMOCNÍKŮ S AMBITY,DOLNÍ ROČOV,1715,1718,3," 50°14'54.61""S"," 13°46'45.48""V",*,x,1,*,*,*
JBS-171802,SÝPKA,*,*,*,*,1,*,RAJHRADICE,1717,1718,1," 49° 5'33.19""S"," 16°38'4.55""V",*,RAJHRADSKÝ BENEDIKTINSKÝ KLÁŠTER,*,1,*,*
JBS-171803,KOSTEL,*,1,*,*,*,SV.PETRA A PAVLA,RAJHRAD,1716,1718,2," 49° 5'21.93""S"," 16°36'57.33""V",KLÁŠTERNÍ,BENEDIKTÍNSKÝ ŘÁD,1,*,*,*
JBS-171901,KOSTEL,*,1,*,*,*,SV.PETRA A PAVLA,ŽELIV,1712,1719,7," 49°31'45.28""S"," 15°13'0.91""V",HŘBITOVNÍ ,ŘÁD PREMONSTRÁTŮ / ŽELIVSKÝ OPAT J.HLÍNA,*,1,*,*
JBS-171902,KOSTEL,*,1,*,*,*,ZVĚSTOVÁNÍ P.MARIE,CEREKVICE,1718,1719,1," 50°20'2.39""S"," 15°43'25.11""V",*,HRABĚ J.A. ZÁRUBA Z HUSTÍŘAN,1,*,*,*
JBS-172001,KOSTEL,*,1,*,*,*,NAROZENÍ P.MARIE,ŽELIV,1714,1720,6," 49°31'45.13""S"," 15°12'53.39""V",*,ŘÁD PREMONSTRÁTŮ / ŽELIVSKÝ OPAT J.HLÍNA,*,1,*,*
JBS-172002,KAPLE,1,x,*,*,*,SV.JANA NEPOMUCKÉHO,BĚSTVINA,1718,1720,2," 49°50'12.99""S"," 15°35'45.21""V",*,F.L. Z BIRKENŠTEJNA,1,*,*,*
JBS-172003,KONÍRNY,*,*,*,*,1,*,ŽDÁR NAD SÁZAVOU,1719,1720,1," 49°34'58.92""S"," 15°56'9.96""V",KLÁŠTERNÍ / ŠLECHTITELSKÉ,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,1,*,*,*
JBS-172004,HOSTINEC,*,*,*,*,1,*,OSTROV NAD OSLAVOU,1718,1720,2," 49°29'13.77""S"," 15°59'23.39""V",KLÁŠTERNÍ ,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,1,*,*,*
JBS-172005,KOLEJ,*,*,1,*,*,PIARISTICKÁ,RYCHNOV NAD KNĚŽNOU,1714,1720,6," 50°10'2.27""S"," 16°16'35.61""V",*,HRABĚ N.L.KOLOWRAT-LIBŠTEJNSKÝ,*,*,1,*
JBS-172006,KAPLE,1,*,*,*,*,SV.BARBORY,KŘIŽANOV,1718,1720,2," 49°23'24.57""S"," 16° 6'43.55""V", ZÁMECKÁ,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,*,1,*,*
JBS-172007,KAPLE,1,*,*,*,*,NEJSVĚTĚJŠÍ TROJICE,OSTRUŽNO,1718,1720,2," 50°26'32.80""S"," 15°15'50.37""V",*,HRABĚ F.J.ŠLIK,1,*,*,*
JBS-172008,KAPLE,1,*,*,*,*,SV.ANDĚLŮ STRÁŽNÝCH zv. ANDĚLÍČEK,VELIŠ,1719,1720,1," 50°25'22.45""S"," 15°18'24.53""V",*,HRABĚ F.J.ŠLIK,1,*,*,*
JBS-172101,KAPLE,1,*,*,*,*,NANEBEVSTOUPENÍ P.MARIE,MĚŘÍN,1720,1721,1," 49°23'25.52""S"," 15°53'12.85""V",*,MĚŘÍNSKÝ FARÁŘ J.F.J.PACHER,1,*,*,*
JBS-172102,KOSTEL,*,1,*,*,*,SV.MARTINA,CHRAŠICE,1720,1721,1," 49°54'20.08""S"," 15°56'37.71""V",HŘBITOVNÍ ,HRADECKÝ BISKUP J.A.VRATISLAV Z MITROVIC,1,*,*,*
1JBS-72103,RADNICE,*,*,*,1,*,*,CHRUDIM,1720,1721,1," 49°57'4.31""S"," 15°47'39.24""V",*,MĚSTSKÁ RADA CHRUDIM,*,1,*,*
JBS-172104,KOSTEL,*,*,*,*,*,SV.VÁCLAVA,ZVOLE,1714,1722,8," 49°29'38.75""S"," 16°10'37.56""V",FARNÍ ,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,*,1,*,*
JBS-172201,KOSTEL,*,1,*,*,*,SV.PETRA PAVLA,BOBROVÁ,1714,1722,8," 49°28'48.24""S"," 16° 6'48.23""V",FARNÍ,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,*,1,*,*
JBS-172202,KOSTEL,*,1,*,*,*,SV.JANA NEPOMUCKÉHO,ŽDÁR NAD SÁZAVOU - ZELENÁ HORA,1719,1722,3," 49°34'48.56""S"," 15°56'30.82""V",POUTNÍ,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,1,*,*,*
JBS-172203,KOSTEL,*,1,*,*,*,P.MARIE A SV.MIKULÁŠE,ŽDÁR NAD SÁZAVOU,1706,1722,16," 49°34'59.08""S"," 15°56'16.97""V",*,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,*,1,*,*
JBS-172204,KOSTEL,*,1,*,*,*,SV.MIKULÁŠE,HUMPOLEC,1716,1722,6," 49°32'29.10""S"," 15°21'33.18""V",*,ŘÁD PREMONSTRÁTŮ / ŽELIVSKÝ OPAT J.HLÍNA,*,1,*,*
JBS-172205,ZÁMEK,*,*,*,1,*,*,HOŘÍNĚVES,1718,1722,4," 50°18'36.45""S"," 15°45'56.92""V",*,HRABĚ J.M.ŠPORK,*,1,*,*
JBS-172301,ZÁMEK,*,*,*,1,*,KARLOVA KORUNA,CHLUMEC NAD CIDLINOU,1721,1723,2," 50° 9'31.87""S"," 15°27'4.73""V",*,HRABĚ F.F.KINSKÝ,1,*,*,*
JBS-172302,STATEK,*,*,*,*,1,zv.GRANGIE SV.VÁCLAVA,VESELÍČKO,1719,1723,4," 49°33'22.83""S"," 16° 0'22.61""V",*,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,1,*,*,*
JBS-172303,KAPLE ,1,*,*,*,*,ZVĚSTOVÁNÍ P.MARIE,CHLUMEC NAD CIDLINOU,1722,1723,1," 50° 9'34.34""S"," 15°27'4.73""V",*,HRABĚ F.F.KINSKÝ,1,*,*,*
JBS-172401,ZÁMEK,*,*,*,1,*,*,LÁZNĚ BĚLOHRAD,1722,1724,2," 50°25'44.29""S"," 15°34'52.33""V",*,HRABĚ J.A.SCHAFFGOTSCH,*,1,*,*
JBS-172402,KOSTEL,*,1,*,*,*,SV.KŘÍŽE,RAJHRAD,1720,1724,4," 49° 5'26.78""S"," 16°36'12.99""V",FARNÍ ,BENEDIKTÍNSKÝ ŘÁD / RAJHRADSKÝ PROBOŠT A.PIRMUS,1,*,*,*
JBS-172501,ZÁMEK,*,*,*,1,*,*,RYCHNOV NAD KNĚŽNOU,1722,1725,3," 50° 9'59.64""S"," 16°16'31.83""V",*,HRABATA N.L. A F.K.KOLOWRAT-LIBŠTEJNŠTÍ,*,1,*,*
JBS-172502,ZÁMEK,*,*,*,1,*,*,VELKÉ MEZIŘÍČÍ,1723,1725,2," 49°21'27.82""S"," 16° 0'45.22""V",*,HRABĚ J.UGART,*,*,1,*
JBS-172503,KOSTEL,*,1,*,*,*,ZVĚSTOVÁNÍ P.MARIE,DYMOKURY,1723,1725,2," 50°14'53.49""S"," 15°12'12.33""V",*,KNĚŽNA M.A.COLLOREDA-MONTECUCULI,1,*,*,*
JBS-172504,ZVONICE,*,1,*,*,*,*,NADRYBY,1724,1725,1," 49°49'15.76""S"," 13°31'27.93""V",*,ŘÁD CISTERCIÁKŮ / PLASKÝ OPAT E.TYTL,1,*,*,*
JBS-172601,KOSTEL,*,1,*,*,*,"NANEBEVZETÍ P.MARIE , SV.WOLFGANGA A BENEDIKTA",KLADRUBY,1711,1726,15," 49°42'45.41""S"," 12°59'43.94""V",KLÁŠTERNÍ ,ŘÁD CISTERCIÁKŮ / KLADRUBSKÝ OPAT M.FINTZUTH,*,1,*,*
JBS-172602,PALÁC,*,*,*,1,*,THUNOVSKÝ,"PRAHA 1 - MALÁ STRANA, NERUDOVA ČP.214-20",1716,1726,10," 50° 5'18.89""S"," 14°24'1.20""V",*,HRABĚ N.L.KOLOWRAT-LIBŠTEJNSKÝ,*,1,*,*
JBS-172603,KOSTEL,*,1,*,*,*,SV.JANA KŘTITELE,BĚSTVINA,1725,1726,1," 49°50'9.16""S"," 15°35'56.88""V",FARNÍ ,F.L. z BIRKENŠTEJNA,*,1,*,*
